Medicine Name,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,Condition,Content,Substitute,Drug Class,InteractionEffect,NotRecommendedFor,InteractsWith0,InteractsWith1,InteractsWith2
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""Once I got over the nausea, I loved how it helped me feel more human.""",,Antidepressant,Increased drowsiness,Heart Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""So here goes... 
I started taking 50mg of sertraline exactly 1 month ago today for the treatment of anxiety and stress I’d wake up during the night sweating trembling and feeling totally out of control with panick, my GP advised me to start at the 50mg dose ! The side affects were horrible! Insomnia, trembling, dry mouth and increased anxiety!! I pushed through the first few weeks and it totally paid off ! I’m about 75% back to my normal self after 1 month 
Please give it chance""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Panic Disorder,"Zoloft (sertraline)""Using Zoloft and Seroquel, which works great. Psychiatrist decided to try SSRI's to see how I would react, Day 1 was feeling great for 2 hours and then felt like I had a cold, mood lowered, stomach can't decide between nausea and hunger. Have never taken anti depressants before but knew this was to be expected. Day 2, today, I'm driving down the road and experienced a panic attack, even though I was a few minutes from the house, it was a very long ride home after I calmed down. Weird abstractions and totally irrational anxiety that I could not reason with in the heat of the moment. I've read that this has happened to a few people that have had very similar experienced and I'm discontinuing this drug. I am only giving this a 5 because I have a friend who has been through a ton of different meds and finally found that this one works for her. Anyone reading this, don't get discouraged, trial and error is what this is all about.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Hypertension,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""My doctors just put me on Lexapro and I cannot believe how much better I feel.  I had been on Xanax for years and no other doctor suggested I get off of this.  I am 77 years old and he told me at my age it was serious.  I do take 1 Xanax in the morning but I am going to get off completely soon.  I have had trigger point pain since 2017 and it is hard to get treated for this.  Have tried so many outlets and hope to try one more doctor for this pain.""",,Antidepressant,Increased drowsiness,Pregnancy,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""I have been dealing with anxiety for a number of years now. After starting nursing school, my anxiety was at the worst it’s ever been, as I think I have everything wrong with me since I’m learning about it. My doctor prescribed me Cipralex 10 mg and I take it at bed time. I’ve taken it for 4 days now, and I will be calling my doctor today to come off of it. The first day wasn’t so bad, just felt really dizzy later in the day. From the second to fourth day, it has been horrible. I am up all night, am feeling like my heart is racing, I get very dizzy, and I am becoming nauseous. It is causing me to worry even more, and after reading the side effects (although most are rare), I do not want to continue taking this med, as it is really increasing my anxiety. I know I should try to stick it out but at this point I can’t. I guess This med just isn’t the right one for me.""",,Antidepressant,Increased drowsiness,Diabetes,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Major Depressive Disorder,"""When I first started, I threw up all over the mall on some blonde girl, then EMS show up. Anyways, lexapro doesn't agree with my tummy, lots of imodium and weight loss. I was thin before, but lexapro really took it off me. Awesome for my anxiety, my daily panic attacks are gone now, my depression. eh.. I guess..then again I've had MDD for years and years, so yeah..  they'd probably have to inject me with just straight serotonin at this point to make me feel normal. Then again I have no support system at all haven't for years, not that I'd want one now. Pretty much I show up at the doctors office tell them to give me my meds and I'm done with it. I'm not interested in therapy or the rest of it.. it's all been a joke no matter who I went to. I guess it works, for anxiety its great, depression with mdd.. eh.. kinda..""",,Antidepressant,Increased drowsiness,Liver Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Post Traumatic Stress Disorder,"""Originally when I first started taking Sertraline I felt I was more mentally able to deal with PTSD, with flashbacks I was more able to distract myself and felt it easier to stay away from upsetting thoughts. My initial problem was I couldn’t stop shaking or sweating and I was completely unable to sleep, I was lucky if I got 30 minutes a night. I came off the tablets but after a consultation with a doctor went back on them with sleeping medication - I felt a constant pressure of sadness and couldn’t feel happy, I literally felt like I had voices in my head telling me I’m worthless and had to remain sad. I’ve tried Citalopram, Fluoxetine and Sertraline and all have given me suicidal thoughts - I don’t believe antidepressants can actually help me.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Diclofenac,Stomach pain,Nausea,Heartburn,Indigestion,,Period Pain,"""I started menstruating at the age of 12, and back then it was pain free . As I grew older, the pain started growing and  when I was 15 years old, it became worse to the extent that , I couldn't do a thing or say a word during the first 24 hours of my period. I'll just be on my bed crying and crying  through out. This went on till I was 16 years old, my mum discovered Sureclofen (Diclofenac) and I started taking it . It works like magic. Before I discovered Sureclofen, I normally take paracetamol, bosofan, panadol extra, but none works.
Diclofenac has saved my life. God bless the person who discovered this drug . I'm 19 now and I'm in my second year in university, God knows how I would have survived in school without this drug""",,NSAID,Increased bleeding risk,Hypertension,Aspirin,Ibuprofen,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Major Depressive Disorder,"""I can't stand this medicine made me completely sick to my stomach the whole day after taking it could not leave the toilet throwing up constantly so bad to where I was taken to the hospital never again in my life will I take it again""",,Antidepressant,Increased drowsiness,Hypertension,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""On my first week of using sertraline and so far side effects include dizziness, nausea, and insomnia. On the upscale I don't have any angry or violent outbursts. About an hour after taking it I saw it's effects almost immediately. All those little things don't bother me so much anymore. Have never felt this way so it's a strange experience.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Obsessive Compulsive DisorderOff-label,"""Been taken 10mg for 3 months absolute nightmare intrusive thoughts got worse and suicidal thoughts so much time off work then this Friday and Saturday felt excellent but today Sunday intrusive thoughts back and feel quite rough just hope I start having more better days than bad days soon as it's been over 3 months. ps took these for years before stopping and they worked a treat""",,Antidepressant,Increased drowsiness,Liver Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"Zoloft (sertraline)""This worked for me better than: Effexor, Wellbutrin, Cymbalta, and Lexapro. The only drawback is it made me gain about 25 lbs when the doctors assured me many people lose weight while taking it. Also it made my muscles a bit tense for the first few weeks, felt the need to clench my jaw and flex my ankles, but that got better as time went on. Definitely the best mood elevator. Also changed my sleeping pattern, I would wake up really early feeling ready to go which was nice, no urge to sleep in, but drawback was sometimes I had trouble sleeping through the night.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""I used to be against medication but when my anxiety and depression began to feel uncontrollable, I decided maybe it was time to seek help. I started zoloft about a week ago, and I feel the need to really tell you guys so far on how I feel. I am less moodier. My husband had noticed a huge change in me. I used to always be in this bad mood and my anxiety used to get the best of me by running my whole day. I am so much more in control of me emotions. My husband isn't too fond of me being on this, however, my kids seem to be a lot more happier (even him) when I am more peaceful.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
